id,title,artist,date_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
6XSqqQIy7Lm7SnwxS4NrGx,CLASSY 101,Feid,2023-03-31,0.859,0.658,11,-4.79,1,0.159,0.145,0.0,0.12,0.672,100.065,195987
56y1jOTK0XSvJzVv9vHQBK,Paint The Town Red,Doja Cat,2023-09-20,0.864,0.556,2,-7.683,0,0.194,0.255,3.85e-06,0.112,0.726,99.974,230480
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,2013-04-22,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,2022-12-09,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,201800
1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,Taylor Swift,2014-01-01,0.76,0.703,5,-5.412,1,0.054,0.103,0.0,0.0913,0.57,95.997,231827
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,2020-03-20,0.513,0.73,1,-5.94,1,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,200040
2sTDlCxmuZCTDKKk9f1qus,WHERE SHE GOES,Bad Bunny,2023-10-13,0.651,0.799,9,-4.02,0,0.0611,0.143,0.634,0.112,0.223,143.992,231704
3Ua0m0YmEjrMi9XErKcNiR,Like Crazy,Jimin,2023-03-24,0.629,0.733,7,-5.445,1,0.0419,0.0025,0.0,0.357,0.362,120.001,212241
561jH07mF1jHuk7KlaeF0s,Mockingbird,Eminem,2004-11-12,0.637,0.678,0,-3.798,1,0.266,0.209,0.0,0.156,0.254,84.039,250760
5mHdCZtVyb4DcJw8799hZp,Escapism.,RAYE,2023-02-03,0.538,0.742,2,-5.355,1,0.114,0.138,4.67e-05,0.0934,0.25,96.107,272373
1kuGVB7EU95pJObxwvfwKS,vampire,Olivia Rodrigo,2023-09-08,0.484,0.53,5,-5.821,1,0.0538,0.154,0.0,0.263,0.323,136.848,219724
0cNSq9T5l8gZnpY14rsTR2,PRC,Peso Pluma,2023-06-29,0.784,0.826,7,-6.34,0,0.0538,0.0965,7.09e-05,0.123,0.893,138.078,184066
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),"Tyler, The Creator",2017-07-21,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,180387
6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,Bad Bunny,2022-05-06,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,178567
65FftemJ1DbbZ45DUfHJXE,OMG,NewJeans,2023-01-02,0.804,0.771,9,-4.067,0,0.0433,0.357,3.07e-06,0.108,0.739,126.956,212253
0FxtC8uFapbpDBliAU3sd6,AMG,Natanael Cano,2023-06-30,0.772,0.73,11,-6.657,0,0.0972,0.152,0.000107,0.274,0.786,136.175,174943
1xK59OXxi2TAAAbmZK0kBL,Romantic Homicide,d4vd,2022-07-20,0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,132631
